timestamp_ms,population,avg_biomass,comm_ratio,avg_deception,factions_estimate,avg_comm_radius,avg_hebbian_reward,avg_age
77398,41,110.13,0.439,0.0805,10,58.1,-0.32613,148
77481,41,109.47,0.439,0.0805,10,58.1,-0.32610,149
77563,41,108.87,0.439,0.0805,10,58.1,-0.35038,150
77655,41,108.23,0.415,0.0805,10,58.1,-0.32369,151
77746,41,107.53,0.390,0.0805,10,58.1,-0.32109,152
77831,41,106.82,0.439,0.0805,10,58.1,-0.36235,153
77921,41,106.12,0.415,0.0805,10,58.1,-0.36991,154
78017,41,107.10,0.439,0.0805,10,58.1,-0.36992,155
78097,41,107.21,0.488,0.0805,10,58.1,-0.32613,156
78169,41,106.65,0.488,0.0805,10,58.1,-0.30433,157
78244,41,106.04,0.488,0.0805,10,58.1,-0.30966,158
78317,41,105.47,0.512,0.0805,10,58.1,-0.32647,159
78392,41,104.95,0.537,0.0805,10,58.1,-0.30468,160
78459,41,104.49,0.512,0.0805,10,58.1,-0.28544,161
78535,41,103.88,0.537,0.0805,10,58.1,-0.25868,162
78609,41,103.27,0.463,0.0805,10,58.1,-0.32654,163
78692,41,102.61,0.488,0.0805,10,58.1,-0.32410,164
78785,41,101.90,0.537,0.0805,10,58.1,-0.35081,165
78871,41,101.23,0.537,0.0805,10,58.1,-0.37990,166
78957,41,100.62,0.512,0.0805,10,58.1,-0.35798,167
79029,41,100.05,0.512,0.0805,10,58.1,-0.33129,168
79107,41,99.56,0.463,0.0805,10,58.1,-0.30949,169
79202,41,99.05,0.463,0.0805,10,58.1,-0.25573,170
79273,41,98.54,0.463,0.0805,10,58.1,-0.25054,171
79357,41,98.00,0.439,0.0805,10,58.1,-0.27785,172
79416,41,97.53,0.512,0.0805,10,58.1,-0.27026,173
79479,41,97.06,0.463,0.0805,10,58.1,-0.26116,174
79555,41,96.50,0.463,0.0805,10,58.1,-0.26355,175
79632,41,95.94,0.463,0.0805,10,58.1,-0.30473,176
79700,41,95.44,0.439,0.0805,10,58.1,-0.30475,177
79757,41,94.95,0.463,0.0805,10,58.1,-0.28046,178
79813,40,96.82,0.450,0.0825,10,57.9,-0.28477,179
79888,40,97.68,0.525,0.0825,10,57.9,-0.28477,180
79953,40,97.08,0.475,0.0825,10,57.9,-0.31687,181
80018,40,96.48,0.525,0.0825,10,57.9,-0.31469,182
80135,40,95.42,0.575,0.0825,10,57.9,-0.31464,184
80243,40,94.55,0.550,0.0825,10,57.9,-0.29231,186
80362,40,93.54,0.575,0.0825,10,57.9,-0.29229,188
80468,40,92.63,0.550,0.0825,10,57.9,-0.27242,190
80571,39,94.02,0.590,0.0811,10,57.5,-0.24855,192
80679,39,93.08,0.538,0.0811,10,57.5,-0.28165,194
80795,39,92.07,0.590,0.0811,10,57.5,-0.28132,196
80844,39,91.56,0.590,0.0811,10,57.5,-0.28422,197
80902,39,91.19,0.615,0.0811,10,57.5,-0.30706,198
80961,39,90.75,0.590,0.0811,10,57.5,-0.23291,199
81026,39,90.23,0.641,0.0811,10,57.5,-0.25834,200
81087,39,89.71,0.538,0.0811,10,57.5,-0.31229,201
81140,39,89.29,0.513,0.0811,10,57.5,-0.30195,202
81189,38,91.20,0.526,0.0800,10,57.5,-0.25747,203
81245,38,90.71,0.553,0.0800,10,57.5,-0.25750,204
81304,38,90.22,0.526,0.0800,10,57.5,-0.28113,205
81369,38,89.67,0.526,0.0800,10,57.5,-0.28100,206
81424,38,89.24,0.500,0.0800,10,57.5,-0.30721,207
81503,38,90.42,0.474,0.0800,10,57.5,-0.15548,209
81578,38,91.07,0.474,0.0800,10,57.5,-0.18160,211
81652,38,90.67,0.474,0.0800,10,57.5,-0.12657,214
81719,38,90.33,0.500,0.0800,10,57.5,-0.08371,216
81801,38,89.84,0.474,0.0800,10,57.5,-0.11817,219
81877,38,89.44,0.474,0.0800,10,57.5,-0.14451,222
81973,38,88.89,0.500,0.0800,10,57.5,-0.10304,225
82057,38,88.34,0.500,0.0800,10,57.5,-0.10565,228
82152,38,87.81,0.474,0.0800,10,57.5,-0.12070,231
82235,37,89.67,0.432,0.0796,10,57.2,-0.12715,234
82357,37,88.86,0.541,0.0796,10,57.2,-0.15335,236
82446,37,88.15,0.514,0.0796,10,57.2,-0.23742,238
82541,37,87.44,0.541,0.0796,10,57.2,-0.21049,240
82624,37,86.74,0.486,0.0796,10,57.2,-0.18362,242
82720,37,85.99,0.459,0.0796,10,57.2,-0.23738,244
82819,37,85.22,0.432,0.0796,10,57.2,-0.20511,246
82955,36,86.55,0.528,0.0795,10,56.9,-0.17707,248
83036,36,85.93,0.528,0.0795,10,56.9,-0.30894,249
83161,35,87.29,0.600,0.0812,10,57.3,-0.32716,251
83299,34,88.80,0.412,0.0798,10,57.1,-0.20414,253
83415,34,87.90,0.441,0.0798,9,57.1,-0.22756,255
83525,34,86.81,0.382,0.0798,9,57.1,-0.17864,258
83645,33,89.35,0.515,0.0801,9,57.5,-0.20790,260
83760,33,88.06,0.545,0.0801,9,57.5,-0.31662,262
83895,33,86.72,0.606,0.0801,9,57.5,-0.34635,264
84001,33,86.12,0.576,0.0801,9,57.5,-0.17171,266
84119,33,84.99,0.576,0.0801,9,57.5,-0.31970,268
84221,33,84.48,0.576,0.0801,9,57.5,-0.28950,270
84334,32,85.90,0.594,0.0780,9,56.8,-0.29522,272
84469,32,84.49,0.625,0.0780,9,56.8,-0.38214,274
84580,31,86.08,0.581,0.0800,9,57.2,-0.27254,276
84697,31,87.27,0.710,0.0800,9,57.2,-0.34302,278
84822,31,86.42,0.677,0.0800,9,57.2,-0.33299,280
84934,30,88.10,0.600,0.0810,9,56.5,-0.25098,282
85057,30,86.73,0.533,0.0810,9,56.5,-0.37069,284
85172,30,85.58,0.500,0.0810,9,56.5,-0.33425,286
85279,30,84.56,0.467,0.0810,9,56.5,-0.33755,288
85392,30,83.47,0.433,0.0810,9,56.5,-0.33749,290
85494,30,82.32,0.467,0.0810,9,56.5,-0.30786,292
85587,30,81.30,0.467,0.0810,9,56.5,-0.27794,294
85682,30,80.35,0.500,0.0810,9,56.5,-0.24146,296
85782,30,79.26,0.467,0.0810,9,56.5,-0.31123,298
85908,30,77.97,0.467,0.0810,9,56.5,-0.37072,300
86032,30,76.69,0.467,0.0810,9,56.5,-0.30777,302
86134,30,75.74,0.467,0.0810,9,56.5,-0.27146,304
86276,30,74.36,0.467,0.0810,9,56.5,-0.23835,307
86432,30,72.91,0.433,0.0810,9,56.5,-0.23839,310
86567,30,74.08,0.433,0.0810,9,56.5,-0.30458,313
86721,30,72.67,0.467,0.0810,9,56.5,-0.14569,316
86868,30,71.33,0.500,0.0810,9,56.5,-0.24502,319
87001,29,75.08,0.724,0.0797,9,56.9,-0.29440,322
87148,29,75.95,0.724,0.0797,9,56.9,-0.17814,326
87268,29,74.80,0.690,0.0797,9,56.9,-0.17461,329
87392,29,73.65,0.655,0.0797,9,56.9,-0.14035,333
87537,27,77.58,0.667,0.0785,9,57.6,-0.30779,336
87662,26,79.40,0.654,0.0795,9,58.1,-0.23481,338
87772,26,78.46,0.615,0.0795,9,58.1,-0.17099,341
87886,26,77.98,0.615,0.0795,9,58.1,-0.10235,346
88033,25,79.82,0.520,0.0815,10,57.9,-0.20483,352
88155,25,78.83,0.560,0.0815,9,57.9,-0.09369,357
88264,25,78.04,0.520,0.0815,9,57.9,-0.05843,362
88393,25,77.22,0.520,0.0815,9,57.9,-0.13793,368
88517,25,76.42,0.440,0.0815,9,57.9,-0.08625,374
88656,25,75.66,0.440,0.0815,10,57.9,-0.08626,382
88776,25,74.68,0.440,0.0815,10,57.9,-0.05044,389
88929,26,73.97,0.462,0.0801,10,58.5,-0.19782,380
89060,26,72.65,0.423,0.0801,10,58.5,-0.12139,385
89192,26,77.69,0.462,0.0801,10,58.5,-0.20170,390
89346,24,82.92,0.708,0.0778,10,58.7,-0.22148,394
89479,24,81.57,0.708,0.0778,10,58.7,-0.22155,397
89613,23,83.52,0.696,0.0809,10,58.3,-0.31797,399
89787,23,81.63,0.696,0.0809,10,58.3,-0.34709,402
89911,23,80.05,0.696,0.0809,10,58.3,-0.31357,405
90046,22,81.96,0.591,0.0833,10,58.0,-0.30889,407
90200,22,80.17,0.591,0.0833,10,58.0,-0.19656,412
90324,22,78.92,0.591,0.0833,10,58.0,-0.11083,417
90429,22,78.09,0.591,0.0833,10,58.0,-0.18300,423
90584,20,84.61,0.500,0.0799,10,57.3,-0.06167,428
90714,19,87.35,0.474,0.0831,10,58.0,-0.20572,431
90844,19,85.66,0.474,0.0831,10,58.0,-0.26312,435
90978,19,84.08,0.421,0.0831,9,58.0,-0.20556,439
91092,19,82.53,0.316,0.0831,9,58.0,-0.24733,443
91229,19,80.66,0.316,0.0831,9,58.0,-0.14271,447
91380,19,78.59,0.316,0.0831,9,58.0,-0.24725,451
91520,19,76.52,0.421,0.0831,9,58.0,-0.40964,454
91635,19,74.97,0.421,0.0831,9,58.0,-0.36258,457
91766,19,73.69,0.421,0.0831,9,58.0,-0.14721,460
91896,19,72.48,0.474,0.0831,9,58.0,-0.10607,464
92022,19,71.39,0.526,0.0831,8,58.0,-0.10608,469
92132,19,70.72,0.526,0.0831,8,58.0,-0.11133,474
92247,19,70.12,0.526,0.0831,8,58.0,-0.16364,480
92393,18,76.79,0.611,0.0820,7,57.2,-0.21007,487
92509,17,82.25,0.529,0.0791,8,57.9,-0.06533,493
92624,17,82.07,0.529,0.0791,8,57.9,-0.05315,500
92752,17,82.07,0.529,0.0791,8,57.9,0.00567,507
92870,17,81.30,0.529,0.0791,8,57.9,-0.09947,514
